area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
Abu Saybi`,2020,2,26.21869771,50.50872803,38.64,11.30633333,17.66666667,57,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,0,36.355,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2020,3,26.21869771,50.50872803,27.243,9.002333333,17.66666667,60,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,0,37.4975,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2020,4,26.21869771,50.50872803,70.06366667,16.496,18.66666667,86,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,0,32.9415,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2021,1,26.21869771,50.50872803,51.48733333,15.399,18,85,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.102941176,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,1,48.65333333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2021,2,26.21869771,50.50872803,39.717,12.61266667,17.33333333,85,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.102941176,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,1,60.7755,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2021,3,26.21869771,50.50872803,93.751,14.83166667,20,61,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.102941176,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,1,45.60216667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2021,4,26.21869771,50.50872803,92.88233333,12.93966667,23,69,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.102941176,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,1,66.734,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2022,1,26.21869771,50.50872803,59.73766667,15.527,22,90,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.603333333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,2,93.31666667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2022,2,26.21869771,50.50872803,123.154,18.71466667,23,83,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.603333333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,2,76.31,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2022,3,26.21869771,50.50872803,184.5693333,23.235,18.66666667,238,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.603333333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,2,91.44583333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2022,4,26.21869771,50.50872803,236.4646667,35.737,15,70,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.603333333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,2,153.8616667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2023,1,26.21869771,50.50872803,155.6976667,25.88266667,20,41,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.35966736,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,3,210.517,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2023,2,26.21869771,50.50872803,202.1703333,26.04433333,16.33333333,44,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.35966736,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,3,196.0811667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2023,3,26.21869771,50.50872803,107.0036667,17.44766667,21.66666667,106,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.35966736,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,3,178.934,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2023,4,26.21869771,50.50872803,132.726,21.41533333,19.66666667,117,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.35966736,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,3,154.587,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2024,1,26.21869771,50.50872803,213.0466667,25.246,21.66666667,50,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.87012987,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,4,119.8648333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2024,2,26.21869771,50.50872803,160.622,21.146,23.33333333,100,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.87012987,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,4,172.8863333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2024,3,26.21869771,50.50872803,183.6843333,18.90466667,33,385,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.87012987,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,4,186.8343333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2024,4,26.21869771,50.50872803,297.1213333,28.73433333,17.66666667,41,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,0.87012987,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,4,172.1531667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2025,1,26.21869771,50.50872803,188.005,24.68466667,21,92,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.630208333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,5,240.4028333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2025,2,26.21869771,50.50872803,278.6336667,24.83766667,17.33333333,54,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.630208333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,5,242.5631667,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2025,3,26.21869771,50.50872803,285.253,26.57133333,26.33333333,33,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.630208333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,5,233.3193333,144.2118333,20.02533333,20,2150,0.001342359
Abu Saybi`,2025,4,26.21869771,50.50872803,361.1236667,39.343,30,34,0.39107383,26,97,290.3333333,192.3333333,9,0,4,3,-0.630208333,Capital Governorate,PPL,Abu Saybi`,502,0.089244851,5,281.9433333,144.2118333,20.02533333,20,2150,0.001342359
